id,fname,lname,email,birthdate,gender,ethnicity,veteran_status,disabled_status,international_student,aid_recipient,prior_intern,date_registration_recieved,date_registration_complete
463429,Olivier,Lattin,olattinx@blogspot.com,6/18/2001,Female,Asian American or Asian,No,No,No,Yes,No,8/3/2020,8/14/2020
463430,Kelsey,Munslow,kmunslowy@smh.com.au,6/23/2000,Female,Asian American or Asian,No,No,No,Yes,No,8/3/2020,8/6/2020
463431,Elnar,Ward,ewardz@aboutads.info,6/18/2001,Male,African American or Black,No,No,No,Yes,No,8/3/2020,8/12/2020
463432,Devonne,Mackelworth,dmackelworth10@addthis.com,7/26/2003,Female,African American or Black,Yes,No,No,Yes,No,8/3/2020,8/13/2020
463433,Sherilyn,Dallman,sdallman11@mail.ru,7/15/2000,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/15/2020
463434,Von,Spain,vspain12@friendfeed.com,8/31/2001,Male,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/10/2020
463435,Susette,Rampton,srampton13@ucla.edu,10/22/2003,Female,Hispanic or Latinx,No,No,No,Yes,No,8/3/2020,8/9/2020
463436,Caterina,Varley,cvarley14@bBallston College.co.uk,9/19/2001,Male,White or Caucasian,Yes,No,No,Yes,No,8/3/2020,8/16/2020
463437,Katherine,Caddell,kcaddell15@histats.com,3/8/2000,Female,African American or Black,No,No,No,Yes,No,8/3/2020,8/4/2020
463438,Dido,Mattheeuw,dmattheeuw16@paypal.com,1/5/2003,Male,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/9/2020
463439,Pansie,Burndred,pburndred17@cnet.com,8/11/2003,Male,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/14/2020
463440,Osborn,Tabbernor,otabbernor18@vimeo.com,6/25/2003,Male,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/5/2020
463441,Jewel,Antognazzi,jantognazzi19@skyrock.com,2/16/2002,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/20/2020
463442,Valentijn,Tume,vtume1a@a8.net,6/3/2003,Male,White or Caucasian,No,No,No,No,No,8/3/2020,8/12/2020
463443,Yoshiko,Tartt,ytartt1b@sciencedaily.com,5/27/2002,Male,White or Caucasian,No,No,No,No,No,8/3/2020,8/8/2020
463444,Kym,Shildrake,kshildrake1c@omniture.com,7/9/2000,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/20/2020
463445,Beth,Blackhurst,bblackhurst1d@wufoo.com,12/20/2003,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/19/2020
463446,Gavin,Domeney,gdomeney1e@vimeo.com,9/6/2003,Male,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/13/2020
463447,Alleen,Tibbles,atibbles1f@about.me,6/24/2000,Male,White or Caucasian,No,No,No,No,No,8/3/2020,8/3/2020
463448,Russ,Eliyahu,reliyahu1g@ning.com,3/11/2003,Female,White or Caucasian,No,No,No,Yes,No,8/3/2020,8/7/2020
